Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2016/2/16, 00:00:00, 1841.75, 1869.25, 1841.50, 1865.25, 2034059, 3003822, 0, 0
2016/2/17, 00:00:00, 1864.75, 1904.50, 1858.00, 1899.25, 1854185, 2983644, 0, 0
2016/2/18, 00:00:00, 1903.25, 1910.00, 1887.75, 1893.00, 1615605, 2975816, 0, 0
2016/2/19, 00:00:00, 1894.00, 1899.25, 1875.00, 1891.00, 1616647, 2974705, 0, 0
2016/2/22, 00:00:00, 1887.50, 1920.25, 1884.75, 1912.75, 1425321, 2985993, 0, 0
2016/2/23, 00:00:00, 1910.50, 1914.50, 1890.25, 1892.50, 1600879, 2986569, 0, 0
2016/2/24, 00:00:00, 1890.50, 1910.25, 1863.25, 1906.75, 2315370, 3001982, 0, 0
2016/2/25, 00:00:00, 1909.50, 1928.00, 1896.75, 1927.00, 1844284, 3023219, 0, 0
2016/2/26, 00:00:00, 1925.50, 1945.25, 1917.75, 1919.25, 1876651, 3014453, 0, 0
2016/2/29, 00:00:00, 1919.50, 1932.75, 1903.00, 1906.00, 1826411, 3014983, 0, 0
2016/3/1, 00:00:00, 1904.50, 1955.00, 1897.25, 1954.50, 2035550, 3008297, 0, 0
2016/3/2, 00:00:00, 1952.75, 1961.25, 1942.75, 1960.00, 1821662, 3008594, 0, 0
2016/3/3, 00:00:00, 1958.25, 1969.00, 1951.25, 1967.00, 1555391, 3018684, 0, 0
2016/3/4, 00:00:00, 1967.50, 1984.00, 1960.50, 1971.50, 2247812, 3012243, 0, 0
2016/3/7, 00:00:00, 1971.00, 1981.00, 1961.00, 1975.50, 1633347, 3005808, 0, 0
2016/3/8, 00:00:00, 1975.50, 1976.75, 1952.50, 1957.50, 1931272, 2931226, 0, 0
2016/3/9, 00:00:00, 1958.25, 1970.50, 1954.50, 1965.50, 1744984, 2746033, 0, 0
2016/3/10, 00:00:00, 1966.50, 1986.50, 1943.50, 1965.00, 1048138, 875859, 0, 0
2016/3/11, 00:00:00, 1965.25, 1998.25, 1963.50, 1996.00, 1828591, 1329369, 0, 0
