Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2015/10/27, 00:00:00, 2027.50, 2028.50, 2015.00, 2024.25, 1243601, 2757750, 0, 0
2015/10/28, 00:00:00, 2025.75, 2049.00, 2019.25, 2048.25, 1888636, 0, 0, 0
2015/10/29, 00:00:00, 2044.75, 2050.25, 2037.00, 2046.75, 1407730, 2779503, 0, 0
2015/10/30, 00:00:00, 2048.50, 2058.50, 2033.50, 2037.50, 1751269, 2748794, 0, 0
2015/11/2, 00:00:00, 2036.75, 2063.75, 2028.00, 2059.25, 1284044, 2774901, 0, 0
2015/11/3, 00:00:00, 2057.00, 2074.00, 2052.75, 2066.75, 1348316, 2764810, 0, 0
2015/11/4, 00:00:00, 2066.25, 2073.50, 2054.25, 2058.50, 1546504, 2767546, 0, 0
2015/11/5, 00:00:00, 2059.25, 2068.50, 2047.75, 2057.75, 1538081, 2773738, 0, 0
2015/11/6, 00:00:00, 2058.50, 2062.75, 2041.25, 2057.50, 1846631, 2780419, 0, 0
2015/11/9, 00:00:00, 2055.75, 2061.50, 2025.75, 2036.75, 1856213, 2816439, 0, 0
2015/11/10, 00:00:00, 2036.00, 2042.75, 2028.25, 2041.75, 1286098, 2826631, 0, 0
2015/11/11, 00:00:00, 2040.25, 2051.00, 2031.50, 2032.75, 1171396, 2810012, 0, 0
2015/11/12, 00:00:00, 2032.25, 2041.25, 2003.25, 2004.25, 1807653, 2804669, 0, 0
2015/11/13, 00:00:00, 2004.25, 2009.75, 1975.25, 1982.25, 2128939, 2819215, 0, 0
2015/11/16, 00:00:00, 1970.25, 2014.75, 1962.25, 2011.75, 1711062, 2803541, 0, 0
2015/11/17, 00:00:00, 2012.75, 2027.25, 2005.25, 2012.75, 1621036, 2771239, 0, 0
2015/11/18, 00:00:00, 2013.50, 2046.25, 2006.75, 2043.50, 1543330, 2788869, 0, 0
2015/11/19, 00:00:00, 2042.00, 2053.00, 2039.00, 2043.00, 1284869, 2790570, 0, 0
2015/11/20, 00:00:00, 2042.00, 2058.25, 2039.75, 2052.50, 1273905, 2751554, 0, 0
2015/11/23, 00:00:00, 2053.50, 2056.75, 2042.00, 2048.00, 976103, 2759407, 0, 0
2015/11/24, 00:00:00, 2046.75, 2055.25, 2029.25, 2048.50, 1517871, 2756429, 0, 0
2015/11/25, 00:00:00, 2047.75, 2056.25, 2046.00, 2051.75, 746319, 2761335, 0, 0
2015/11/27, 00:00:00, 2053.75, 2062.00, 2045.25, 2053.75, 653387, 2763546, 0, 0
2015/11/30, 00:00:00, 2053.25, 2058.75, 2042.25, 2043.50, 1389020, 2764688, 0, 0
2015/12/1, 00:00:00, 2049.25, 2065.25, 2047.25, 2063.75, 1482186, 2759024, 0, 0
2015/12/2, 00:00:00, 2063.25, 2068.75, 2038.75, 2045.25, 1725833, 2741368, 0, 0
2015/12/3, 00:00:00, 2047.00, 2059.00, 2003.75, 2015.00, 2655148, 2748380, 0, 0
2015/12/4, 00:00:00, 2017.00, 2056.75, 2010.50, 2052.25, 2269530, 2668096, 0, 0
2015/12/7, 00:00:00, 2056.00, 2059.25, 2028.25, 2044.75, 1699318, 2642562, 0, 0
2015/12/8, 00:00:00, 2043.75, 2045.25, 2014.00, 2022.50, 2005017, 2624311, 0, 0
2015/12/9, 00:00:00, 2023.25, 2043.50, 1998.00, 2005.75, 2660114, 0, 0, 0
2015/12/10, 00:00:00, 2009.50, 2031.00, 2008.00, 2013.25, 783692, 787824, 0, 0
2015/12/11, 00:00:00, 2014.75, 2020.00, 1968.50, 1973.50, 2345329, 1264033, 0, 0
2015/12/14, 00:00:00, 1973.75, 1991.75, 1955.50, 1981.75, 2652781, 1775616, 0, 0
2015/12/15, 00:00:00, 1985.25, 2018.00, 1982.25, 2009.25, 2156216, 0, 0, 0
2015/12/16, 00:00:00, 2009.75, 2041.00, 2003.25, 2036.00, 2035482, 2448737, 0, 0
2015/12/17, 00:00:00, 2033.00, 2045.00, 1995.00, 1997.00, 2114912, 2525720, 0, 0
2015/12/18, 00:00:00, 1996.25, 2002.00, 1963.25, 1964.25, 2118900, 2570329, 0, 0
2015/12/21, 00:00:00, 1969.50, 1991.75, 1967.50, 1987.25, 1275266, 2561504, 0, 0
2015/12/22, 00:00:00, 1989.25, 2008.75, 1979.50, 2008.25, 1144898, 2542077, 0, 0
2015/12/23, 00:00:00, 2006.25, 2030.00, 2003.00, 2025.25, 1003982, 2512689, 0, 0
2015/12/24, 00:00:00, 2025.00, 2032.00, 2021.25, 2023.50, 325205, 2490347, 0, 0
2015/12/28, 00:00:00, 2023.50, 2026.75, 2007.50, 2021.00, 696448, 2490832, 0, 0
2015/12/29, 00:00:00, 2022.00, 2046.75, 2019.75, 2045.00, 832686, 2496174, 0, 0
2015/12/30, 00:00:00, 2044.25, 2047.25, 2025.75, 2026.75, 720601, 2486459, 0, 0
2015/12/31, 00:00:00, 2027.50, 2030.00, 2002.50, 2007.75, 1029390, 2492297, 0, 0
2016/1/4, 00:00:00, 2010.00, 2015.75, 1952.50, 1981.25, 2216549, 2569569, 0, 0
2016/1/5, 00:00:00, 1981.25, 1989.25, 1964.50, 1984.00, 1688974, 2562248, 0, 0
2016/1/6, 00:00:00, 1983.00, 1985.50, 1942.75, 1958.25, 2237518, 2579137, 0, 0
2016/1/7, 00:00:00, 1960.00, 1963.25, 1900.75, 1905.25, 2969295, 2610790, 0, 0
2016/1/8, 00:00:00, 1908.75, 1937.00, 1882.25, 1883.75, 2694404, 2679953, 0, 0
2016/1/11, 00:00:00, 1881.50, 1901.25, 1864.75, 1886.50, 2490336, 2718509, 0, 0
2016/1/12, 00:00:00, 1885.75, 1912.50, 1871.25, 1897.25, 2428110, 2728789, 0, 0
2016/1/13, 00:00:00, 1894.75, 1918.75, 1850.25, 1853.75, 2899958, 2767647, 0, 0
2016/1/14, 00:00:00, 1856.00, 1899.75, 1843.25, 1886.75, 3045826, 2774821, 0, 0
2016/1/15, 00:00:00, 1885.75, 1892.00, 1821.50, 1847.25, 3441956, 2848559, 0, 0
2016/1/19, 00:00:00, 1842.00, 1879.75, 1828.50, 1845.25, 2796679, 2841234, 0, 0
2016/1/20, 00:00:00, 1844.00, 1850.75, 1776.50, 1827.25, 3929776, 2867832, 0, 0
2016/1/21, 00:00:00, 1827.00, 1855.50, 1808.50, 1833.25, 2729407, 2850850, 0, 0
2016/1/22, 00:00:00, 1830.75, 1874.50, 1828.00, 1871.50, 2106526, 2841461, 0, 0
2016/1/25, 00:00:00, 1871.75, 1876.50, 1828.00, 1842.50, 1640401, 2862213, 0, 0
2016/1/26, 00:00:00, 1844.00, 1872.00, 1823.50, 1868.25, 1780235, 2870149, 0, 0
2016/1/27, 00:00:00, 1857.50, 1882.25, 1836.75, 1847.25, 2113363, 2897826, 0, 0
2016/1/28, 00:00:00, 1852.25, 1874.75, 1838.00, 1853.00, 2254109, 2872487, 0, 0
2016/1/29, 00:00:00, 1851.00, 1905.25, 1848.75, 1902.25, 2406399, 2878549, 0, 0
2016/2/1, 00:00:00, 1902.00, 1912.25, 1884.75, 1903.50, 1748062, 2888962, 0, 0
2016/2/2, 00:00:00, 1900.75, 1901.50, 1861.25, 1869.75, 2102411, 2941058, 0, 0
2016/2/3, 00:00:00, 1867.25, 1884.50, 1837.25, 1880.75, 2841210, 0, 0, 0
2016/2/4, 00:00:00, 1880.00, 1894.50, 1862.50, 1880.00, 2255360, 2940610, 0, 0
2016/2/5, 00:00:00, 1877.50, 1886.75, 1838.00, 1847.50, 2320680, 2998346, 0, 0
2016/2/8, 00:00:00, 1848.50, 1856.75, 1794.00, 1824.25, 2674512, 3020294, 0, 0
2016/2/9, 00:00:00, 1822.00, 1836.00, 1798.00, 1820.50, 2792208, 3002017, 0, 0
2016/2/10, 00:00:00, 1822.25, 1850.00, 1810.75, 1819.00, 2359881, 3001438, 0, 0
2016/2/11, 00:00:00, 1814.50, 1819.50, 1774.75, 1796.75, 3203999, 3021157, 0, 0
2016/2/12, 00:00:00, 1799.50, 1833.00, 1794.75, 1830.50, 2018154, 2994392, 0, 0
2016/2/16, 00:00:00, 1837.50, 1865.00, 1837.25, 1861.00, 2034059, 3003822, 0, 0
2016/2/17, 00:00:00, 1860.50, 1900.25, 1853.75, 1895.00, 1854185, 2983644, 0, 0
2016/2/18, 00:00:00, 1899.00, 1905.75, 1883.50, 1888.75, 1615605, 2975816, 0, 0
2016/2/19, 00:00:00, 1889.75, 1895.00, 1870.75, 1886.75, 1616647, 2974705, 0, 0
2016/2/22, 00:00:00, 1883.25, 1916.00, 1880.50, 1908.50, 1425321, 2985993, 0, 0
2016/2/23, 00:00:00, 1906.25, 1910.25, 1886.00, 1888.25, 1600879, 2986569, 0, 0
2016/2/24, 00:00:00, 1886.25, 1906.00, 1859.00, 1902.50, 2315370, 3001982, 0, 0
2016/2/25, 00:00:00, 1905.25, 1923.75, 1892.50, 1922.75, 1844284, 3023219, 0, 0
2016/2/26, 00:00:00, 1921.25, 1941.00, 1913.50, 1915.00, 1876651, 3014453, 0, 0
2016/2/29, 00:00:00, 1915.25, 1928.50, 1898.75, 1901.75, 1826411, 3014983, 0, 0
